,title,img_path,hashtag,colors
55,넘치는 에너지,./image/image_56.jpg,"['봄', '스포츠', '긴소매 티셔츠', '나일론/코치 재킷', '러닝화', '리복', '밸롭', '보스턴/드럼/더플백', '스포츠 스니커즈', '아디다스 피트니스', '언더아머', '에이치덱스', '장갑', '조거 팬츠', '허그본', '스포티', '편안한', '애슬레저룩', '컬러블록', '심볼', '로고플레이']","[[ 30  35  41]
 [109 111 108]]"
56,스포티하게!,./image/image_57.jpg,"['봄', '스포츠', '근력 /유산소 용품', '기타상의', '나일론/코치 재킷', '러닝화', '머슬암드', '밸롭', '스포츠 스니커즈', '에이치덱스', '우알롱', '이고진', '캡/야구 모자', '트레이닝 팬츠', '스포티', '편안한', '애슬레저룩', '로고플레이', '모노톤']","[[ 31  31  33]
 [102 101 115]]"
57,운동 가자,./image/image_58.jpg,"['봄', '스포츠', '긴소매 티셔츠', '데상트', '러닝화', '보스턴/드럼/더플백', '보호대/헬멧/보호용품', '쉴드', '스포츠 스니커즈', '썸앤핏', '안다르', '언더아머', '이스트팩', '조거 팬츠', '후드 티셔츠', '스포티', '편안한', '애슬레저룩', '올블랙']","[[ 23  24  28]
 [110 112 111]
 [202  72  48]
 [ 44   0  77]
 [  0  41   0]
 [114  41  70]
 [164 238 203]
 [103  37   2]]"
58,언제나 좋아,./image/image_59.jpg,"['봄', '캐주얼', '데님 팬츠', '래리클락', '마리떼', '맨투맨/스웨트셔츠', '에코백', '오니츠카타이거', '캡/야구 모자', '타입서비스', '패션스니커즈화', '후드 집업', '로고플레이', '꾸안꾸', '워싱', '그래픽', '레터링']","[[ 24  24  24]
 [110 109 117]
 [216 140 150]
 [125  56  61]
 [144 121  77]
 [241 251 178]
 [156 158 215]]"
59,데일리로 즐겨,./image/image_60.jpg,"['봄', '캐주얼', '기타 아우터', '긴소매 티셔츠', '데님 팬츠', '래리클락', '리복', '메신저/크로스 백', '미니멀프로젝트', '밀리언코르', '소니', '패션스니커즈화', '하이키클럽', '헤드폰', '래글런', '워싱', '모노톤']","[[14 14 14]
 [85 85 93]]"
60,꿀 조합,./image/image_61.jpg,"['봄', '캐주얼', '데님 팬츠', '라퍼지스토어', '맨투맨/스웨트셔츠', '메신저/크로스 백', '슈퍼서브', '스파오', '이피티', '제이반스 클래식', '캔버스/단화', '팔찌', '플랙 우먼', '후드 집업', '로고플레이', '워싱']","[[233 231 232]
 [ 85 103 127]
 [  0   0   2]
 [192 169 128]
 [ 67  63  36]
 [ 29  33 106]]"
61,편안한 꾸안꾸,./image/image_62.jpg,"['봄', '캐주얼', '메신저/크로스 백', '벗딥', '브라운브레스', '스타디움 재킷', '윅', '캡/야구 모자', '크로스백', '트레이닝/조거 팬츠', '파이비', '패션스니커즈화', '퍼스텝', '후드 티셔츠', '로고플레이', '편안한', '꾸안꾸']","[[ 40  47  57]
 [ 91 104 148]
 [ 77  81 180]
 [237 247 213]
 [255 199 229]
 [  0  16  65]
 [ 76 114  89]]"
62,단정한 매력,./image/image_63.jpg,"['봄', '포멀', '구두', '니트/스웨터', '드핀', '로퍼', '마인드브릿지', '무이쿠이', '발렌티노 루디', '솔트앤초콜릿', '슈트 팬츠/슬랙스', '슈트/블레이저 재킷', '쿠어', '쿼츠 아날로그', '토트백', '모노톤', '단정한', '출근룩', '부츠컷']","[[ 43  42  48]
 [156 122  76]]"
63,디테일에 집중!,./image/image_64.jpg,"['봄', '스트릿', '게이트리스', '기타 상의', '라퍼지스토어', '레더/라이더스 재킷', '마뗑킴', '비니', '선글라스', '세릭', '원브릴리언트', '코튼 팬츠', '컬러블록', '레더', '모노톤', '유니크', '힙합', '부츠컷', '심볼']","[[18 18 18]
 [89 89 89]]"
64,로맨틱한 하루,./image/image_65.jpg,"['로맨틱', '봄', '귀걸이', '기타 아우터', '니트/스웨터', '닉앤니콜', '데님 팬츠', '레이첼콕스', '메신저/크로스 백', '목걸이/펜던트', '밀리언코르', '아카디에', '알도', '어반드레스', '크로스백', '티르리르', '힐/펌프스', '데이트', '소개팅', '트위드', '컷아웃', '로고플레이', '부츠컷']","[[ 39  39  51]
 [122 108  82]
 [148  66  80]
 [234  65  94]]"
65,스포티 무드,./image/image_66.jpg,"['봄', '스포츠', '글랙', '러디칙스', '맨투맨/스웨트셔츠', '백팩', '살로몬 스포츠스타일', '아노락 재킷', '엄브로', '트레이닝/조거 팬츠', '패션스니커즈화', '고프코어', '스포티', '모노톤', '컬러블록']","[[ 33  33  33]
 [101 113 113]]"
66,탐나는 매치,./image/image_67.jpg,"['봄', '스포츠', '그라미치', '러닝화', '맨투맨/스웨트셔츠', '메신저/크로스 백', '베스트', '살로몬', '스컬프터', '스포츠 스니커즈', '오닐', '캡/야구 모자', '코튼 팬츠', '크로스백', '고프코어', '스포티', '로고플레이', '레터링', '컬러블록']",[[60 59 55]]
